TEMP=256

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_5.0_BETA_0.05_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.71656, label_top_5_accuracy = 0.8976, loss = 1.5743265, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_3.0_BETA_0.01_GAMMA_1.5_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.72322, label_top_5_accuracy = 0.90264, loss = 1.6190277,regularization_loss = 0.0

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_64_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_3.0_BETA_0.01_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.73028, label_top_5_accuracy = 0.9073, loss = 1.459571, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_256_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_0.0_BETA_0.01_GAMMA_0.5_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.72904, label_top_5_accuracy = 0.90646, loss = 1.5504616,regularization_loss = 0.0

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_5.0_BETA_0.1_GAMMA_3.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.71782, label_top_5_accuracy = 0.89956, loss = 1.5116348, regularization_loss = 0.0
 

=======


=======

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_64_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_1.0_BETA_0.1_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.72056, label_top_5_accuracy = 0.90078, loss = 1.5019414, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_10.0_BETA_0.01_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.72932, label_top_5_accuracy = 0.90458, loss = 1.570985, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_128_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_10.0_BETA_0.02_GAMMA_1.0_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.7112, label_top_5_accuracy = 0.89654, loss = 1.5867603, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_32_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_0.0_BETA_0.01_GAMMA_0.3_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.74106, label_top_5_accuracy = 0.91256, loss = 1.4070679, regularization_loss = 0.0

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_16_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_0.0_BETA_0.01_GAMMA_0.1_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.74244, label_top_5_accuracy = 0.91488, loss = 1.4087038, regularization_loss = 0.0 

gs://martin_ma_mql_simclr/chi_BS_4096_EPOCH_100_TEMP_86_LR_0.1_LRSCALE_sqrt_WDECAY_1e-4_DATASET_imagenet2012_IMAGE_SIZE_224_SKRATIO_0.0625_WIDTHMUL_1_RESNETDEP_50_HIDDENNORM_false_ALPHA_0.0_BETA_0.01_GAMMA_0.1_ft_BS_4096_FINETUNE_AFTER_BLOCK_0_LR_0.16_WD_0_EPOCH_90_WARMUP_EPOCHS_0/model.ckpt-28151, contrast_loss = 0.0, contrastive_top_1_accuracy = 1.0, contrastive_top_5_accuracy = 1.0, global_step = 28151, label_top_1_accuracy = 0.74068, label_top_5_accuracy = 0.91394, loss = 1.4385886, regularization_loss = 0.0 

